win,lose,probability,,,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Wteam,Agree,sum,total,accuracy
Miami Heat,New York Knicks,0.875485755,,,,Miami Heat,109,New York Knicks,103,,Miami Heat,1,,,
Boston Celtics,Phoenix Suns,0.717203048,,,,Boston Celtics,91,Phoenix Suns,100,,Phoenix Suns,0,,,
Los Angeles Clippers,Sacramento Kings,0.726254512,,,,Sacramento Kings,113,Los Angeles Clippers,110,,Sacramento Kings,0,,,
Houston Rockets,Charlotte Hornets,0.827792609,,,,Houston Rockets,94,Charlotte Hornets,119,,Charlotte Hornets,0,,,
Washington Wizards,Chicago Bulls,0.613570881,,,,Washington Wizards,105,Chicago Bulls,101,,Washington Wizards,1,,,
Toronto Raptors,Memphis Grizzlies,0.775572859,,,,Toronto Raptors,128,Memphis Grizzlies,113,,Toronto Raptors,1,,,
Dallas Mavericks,Minnesota Timberwolves,0.779436004,,,,Minnesota Timberwolves,122,Dallas Mavericks,127,,Dallas Mavericks,1,,,
San Antonio Spurs,Golden State Warriors,0.74565039,,,,Golden State Warriors,100,San Antonio Spurs,105,,San Antonio Spurs,1,,,
Phoenix Suns,Cleveland Cavaliers,0.683765654,,,,Cleveland Cavaliers,113,Phoenix Suns,119,,Phoenix Suns,1,,,
Milwaukee Bucks,Denver Nuggets,0.504581511,,,,Milwaukee Bucks,125,Denver Nuggets,112,,Milwaukee Bucks,1,,,
Los Angeles Lakers,Oklahoma City Thunder,0.67934176,,,,Oklahoma City Thunder,112,Los Angeles Lakers,119,,Los Angeles Lakers,1,,,
Brooklyn Nets,Detroit Pistons,0.775678094,,,,Brooklyn Nets,111,Detroit Pistons,122,,Detroit Pistons,0,,,
Miami Heat,New York Knicks,0.767944416,,,,New York Knicks,96,Miami Heat,98,,Miami Heat,1,,,
Houston Rockets,New Orleans Pelicans,0.783995372,,,,Houston Rockets,101,New Orleans Pelicans,130,,New Orleans Pelicans,0,,,
San Antonio Spurs,Golden State Warriors,0.74565039,,,,Golden State Warriors,114,San Antonio Spurs,91,,Golden State Warriors,0,,,
Portland Trail Blazers,Orlando Magic,0.56411151,,,,Orlando Magic,97,Portland Trail Blazers,106,,Portland Trail Blazers,1,,,
Philadelphia 76ers,Sacramento Kings,0.793110018,,,,Philadelphia 76ers,119,Sacramento Kings,111,,Philadelphia 76ers,1,,,
Boston Celtics,Utah Jazz,0.570717246,,,,Boston Celtics,108,Utah Jazz,122,,Utah Jazz,0,,,
Toronto Raptors,Washington Wizards,0.878754503,,,,Toronto Raptors,137,Washington Wizards,115,,Toronto Raptors,1,,,
Dallas Mavericks,Atlanta Hawks,0.799361247,,,,Atlanta Hawks,117,Dallas Mavericks,118,,Dallas Mavericks,1,,,
Indiana Pacers,Brooklyn Nets,0.572136256,,,,Indiana Pacers,94,Brooklyn Nets,104,,Brooklyn Nets,0,,,
Memphis Grizzlies,Charlotte Hornets,0.554564775,,,,Charlotte Hornets,114,Memphis Grizzlies,130,,Memphis Grizzlies,1,,,
Los Angeles Clippers,Minnesota Timberwolves,0.893150971,,,,Los Angeles Clippers,119,Minnesota Timberwolves,112,,Los Angeles Clippers,1,,,
New Orleans Pelicans,Chicago Bulls,0.653736941,,,,New Orleans Pelicans,116,Chicago Bulls,129,,Chicago Bulls,0,,,
Denver Nuggets,Cleveland Cavaliers,0.841096412,,,,Cleveland Cavaliers,95,Denver Nuggets,133,,Denver Nuggets,1,,,
Los Angeles Lakers,Oklahoma City Thunder,0.67934176,,,,Oklahoma City Thunder,113,Los Angeles Lakers,114,,Los Angeles Lakers,1,,,
Milwaukee Bucks,Phoenix Suns,0.713736982,,,,Milwaukee Bucks,124,Phoenix Suns,125,,Phoenix Suns,0,,,
Toronto Raptors,Boston Celtics,0.546495206,,,,Toronto Raptors,106,Boston Celtics,120,,Boston Celtics,0,,,
Miami Heat,Houston Rockets,0.505889512,,,,Miami Heat,101,Houston Rockets,94,,Miami Heat,1,,,
Indiana Pacers,Detroit Pistons,0.819699779,,,,Indiana Pacers,111,Detroit Pistons,95,,Indiana Pacers,1,,,
Orlando Magic,Golden State Warriors,0.858427147,,,,Orlando Magic,105,Golden State Warriors,111,,Golden State Warriors,0,,,
Philadelphia 76ers,Portland Trail Blazers,0.685930306,,,,Philadelphia 76ers,114,Portland Trail Blazers,118,,Portland Trail Blazers,0,,,
Minnesota Timberwolves,Charlotte Hornets,0.524045299,,,,Minnesota Timberwolves,114,Charlotte Hornets,120,,Charlotte Hornets,0,,,
New York Knicks,Washington Wizards,0.666279476,,,,New York Knicks,109,Washington Wizards,91,,New York Knicks,1,,,
San Antonio Spurs,Atlanta Hawks,0.87635177,,,,San Antonio Spurs,125,Atlanta Hawks,114,,San Antonio Spurs,1,,,
Dallas Mavericks,New Orleans Pelicans,0.67802811,,,,New Orleans Pelicans,130,Dallas Mavericks,143,,Dallas Mavericks,1,,,
Boston Celtics,Detroit Pistons,0.842607919,,,,Detroit Pistons,108,Boston Celtics,102,,Detroit Pistons,0,,,
Los Angeles Clippers,Chicago Bulls,0.855766533,,,,Los Angeles Clippers,125,Chicago Bulls,106,,Los Angeles Clippers,1,,,
Denver Nuggets,Oklahoma City Thunder,0.595680234,,,,Oklahoma City Thunder,95,Denver Nuggets,97,,Denver Nuggets,1,,,
Milwaukee Bucks,Utah Jazz,0.56654088,,,,Milwaukee Bucks,115,Utah Jazz,129,,Utah Jazz,0,,,
Los Angeles Lakers,Memphis Grizzlies,0.800352482,,,,Memphis Grizzlies,105,Los Angeles Lakers,115,,Los Angeles Lakers,1,,,
Portland Trail Blazers,Cleveland Cavaliers,0.764183709,,,,Cleveland Cavaliers,110,Portland Trail Blazers,129,,Portland Trail Blazers,1,,,
Orlando Magic,Sacramento Kings,0.575602837,,,,Orlando Magic,123,Sacramento Kings,112,,Orlando Magic,1,,,
Philadelphia 76ers,Phoenix Suns,0.765986286,,,,Philadelphia 76ers,111,Phoenix Suns,120,,Phoenix Suns,0,,,
Indiana Pacers,Atlanta Hawks,0.838352678,,,,Indiana Pacers,125,Atlanta Hawks,113,,Indiana Pacers,1,,,
Houston Rockets,New York Knicks,0.849132584,,,,Houston Rockets,99,New York Knicks,121,,New York Knicks,0,,,
Brooklyn Nets,Golden State Warriors,0.860600912,,,,Brooklyn Nets,134,Golden State Warriors,117,,Brooklyn Nets,1,,,
Miami Heat,Utah Jazz,0.601242957,,,,Miami Heat,94,Utah Jazz,112,,Utah Jazz,0,,,
Boston Celtics,Washington Wizards,0.854461149,,,,Boston Celtics,91,Washington Wizards,104,,Washington Wizards,0,,,
San Antonio Spurs,Charlotte Hornets,0.815602625,,,,San Antonio Spurs,122,Charlotte Hornets,110,,San Antonio Spurs,1,,,
New Orleans Pelicans,Detroit Pistons,0.72185851,,,,New Orleans Pelicans,112,Detroit Pistons,123,,Detroit Pistons,0,,,
Toronto Raptors,Minnesota Timberwolves,0.861297646,,,,Minnesota Timberwolves,116,Toronto Raptors,112,,Minnesota Timberwolves,0,,,
Portland Trail Blazers,Dallas Mavericks,0.52691017,,,,Portland Trail Blazers,121,Dallas Mavericks,118,,Portland Trail Blazers,1,,,
Milwaukee Bucks,Oklahoma City Thunder,0.583778256,,,,Milwaukee Bucks,109,Oklahoma City Thunder,114,,Oklahoma City Thunder,0,,,
Orlando Magic,Phoenix Suns,0.536623777,,,,Orlando Magic,90,Phoenix Suns,109,,Phoenix Suns,0,,,
Los Angeles Lakers,Denver Nuggets,0.57252091,,,,Los Angeles Lakers,105,Denver Nuggets,122,,Denver Nuggets,0,,,
Los Angeles Clippers,Cleveland Cavaliers,0.871538558,,,,Cleveland Cavaliers,111,Los Angeles Clippers,128,,Los Angeles Clippers,1,,,
Memphis Grizzlies,Sacramento Kings,0.507004254,,,,Memphis Grizzlies,124,Sacramento Kings,110,,Memphis Grizzlies,1,,,
Indiana Pacers,Chicago Bulls,0.702888791,,,,Chicago Bulls,120,Indiana Pacers,112,,Chicago Bulls,0,,,
Houston Rockets,Washington Wizards,0.842022197,,,,Houston Rockets,119,Washington Wizards,131,,Washington Wizards,0,,,
Atlanta Hawks,New York Knicks,0.533470374,,,,Atlanta Hawks,112,New York Knicks,123,,New York Knicks,0,,,
Philadelphia 76ers,Utah Jazz,0.631796786,,,,Philadelphia 76ers,123,Utah Jazz,134,,Utah Jazz,0,,,
Cleveland Cavaliers,Golden State Warriors,0.707732706,,,,Cleveland Cavaliers,98,Golden State Warriors,129,,Golden State Warriors,0,,,
Los Angeles Clippers,Miami Heat,0.521736558,,,,Miami Heat,118,Los Angeles Clippers,125,,Los Angeles Clippers,1,,,
Brooklyn Nets,Sacramento Kings,0.579994482,,,,Brooklyn Nets,136,Sacramento Kings,125,,Brooklyn Nets,1,,,
Boston Celtics,Denver Nuggets,0.539832592,,,,Denver Nuggets,99,Boston Celtics,112,,Boston Celtics,1,,,
Memphis Grizzlies,New Orleans Pelicans,0.505858487,,,,New Orleans Pelicans,144,Memphis Grizzlies,113,,New Orleans Pelicans,0,,,
Toronto Raptors,Milwaukee Bucks,0.517439363,,,,Toronto Raptors,124,Milwaukee Bucks,113,,Toronto Raptors,1,,,
Los Angeles Lakers,Minnesota Timberwolves,0.907869726,,,,Los Angeles Lakers,112,Minnesota Timberwolves,104,,Los Angeles Lakers,1,,,
Portland Trail Blazers,Oklahoma City Thunder,0.538665914,,,,Portland Trail Blazers,115,Oklahoma City Thunder,104,,Portland Trail Blazers,1,,,
Brooklyn Nets,Phoenix Suns,0.5410972,,,,Brooklyn Nets,128,Phoenix Suns,124,,Brooklyn Nets,1,,,
New York Knicks,Orlando Magic,0.533771503,,,,New York Knicks,89,Orlando Magic,107,,Orlando Magic,0,,,
Boston Celtics,Atlanta Hawks,0.847425322,,,,Atlanta Hawks,122,Boston Celtics,114,,Atlanta Hawks,0,,,
Philadelphia 76ers,Houston Rockets,0.50602569,,,,Houston Rockets,113,Philadelphia 76ers,118,,Philadelphia 76ers,1,,,
Detroit Pistons,Chicago Bulls,0.508676799,,,,Detroit Pistons,102,Chicago Bulls,105,,Chicago Bulls,0,,,
Indiana Pacers,Minnesota Timberwolves,0.823304219,,,,Indiana Pacers,134,Minnesota Timberwolves,128,,Indiana Pacers,1,,,
Denver Nuggets,Washington Wizards,0.836785128,,,,Denver Nuggets,128,Washington Wizards,130,,Washington Wizards,0,,,
Oklahoma City Thunder,Memphis Grizzlies,0.647151073,,,,Oklahoma City Thunder,113,Memphis Grizzlies,122,,Memphis Grizzlies,0,,,
Portland Trail Blazers,New Orleans Pelicans,0.765921486,,,,Portland Trail Blazers,126,New Orleans Pelicans,124,,Portland Trail Blazers,1,,,
Miami Heat,Golden State Warriors,0.937732666,,,,Miami Heat,112,Golden State Warriors,120,,Golden State Warriors,0,,,
Los Angeles Clippers,Utah Jazz,0.589266391,,,,Utah Jazz,114,Los Angeles Clippers,96,,Utah Jazz,0,,,
Toronto Raptors,Milwaukee Bucks,0.517439363,,,,Toronto Raptors,110,Milwaukee Bucks,96,,Toronto Raptors,1,,,
Los Angeles Lakers,Brooklyn Nets,0.749090397,,,,Brooklyn Nets,109,Los Angeles Lakers,98,,Brooklyn Nets,0,,,
Miami Heat,Sacramento Kings,0.771092221,,,,Miami Heat,118,Sacramento Kings,110,,Miami Heat,1,,,
Denver Nuggets,Cleveland Cavaliers,0.883589988,,,,Denver Nuggets,,Cleveland Cavaliers,,,,241,,,
Orlando Magic,Golden State Warriors,0.611588513,,,,Golden State Warriors,,Orlando Magic,,,,,,,
Boston Celtics,Atlanta Hawks,0.847425322,,,,Atlanta Hawks,,Boston Celtics,,,,,,,
Philadelphia 76ers,Chicago Bulls,0.742024774,,,,Chicago Bulls,,Philadelphia 76ers,,,,,,,
Memphis Grizzlies,Detroit Pistons,0.651180122,,,,Detroit Pistons,,Memphis Grizzlies,,,,,,,
Milwaukee Bucks,Oklahoma City Thunder,0.63731406,,,,Oklahoma City Thunder,,Milwaukee Bucks,,,,,,,
Phoenix Suns,New Orleans Pelicans,0.530314209,,,,Phoenix Suns,,New Orleans Pelicans,,,,,,,
Toronto Raptors,Minnesota Timberwolves,0.903937962,,,,Toronto Raptors,,Minnesota Timberwolves,,,,,,,
Los Angeles Clippers,Utah Jazz,0.589266391,,,,Utah Jazz,,Los Angeles Clippers,,,,,,,
Charlotte Hornets,Golden State Warriors,0.500292439,,,,Golden State Warriors,,Charlotte Hornets,,,,,,,
Houston Rockets,Indiana Pacers,0.644401479,,,,Indiana Pacers,,Houston Rockets,,,,,,,
Los Angeles Lakers,Miami Heat,0.550336135,,,,Miami Heat,,Los Angeles Lakers,,,,,,,
Sacramento Kings,Chicago Bulls,0.716161429,,,,Sacramento Kings,,Chicago Bulls,,,,,,,
Memphis Grizzlies,Phoenix Suns,0.558476936,,,,Phoenix Suns,,Memphis Grizzlies,,,,,,,
Portland Trail Blazers,Washington Wizards,0.668182931,,,,Washington Wizards,,Portland Trail Blazers,,,,,,,
Boston Celtics,New Orleans Pelicans,0.799917595,,,,Boston Celtics,,New Orleans Pelicans,,,,,,,
Oklahoma City Thunder,Cleveland Cavaliers,0.850630149,,,,Oklahoma City Thunder,,Cleveland Cavaliers,,,,,,,
Minnesota Timberwolves,New York Knicks,0.563162325,,,,Minnesota Timberwolves,,New York Knicks,,,,,,,
Orlando Magic,Detroit Pistons,0.60818911,,,,Detroit Pistons,,Orlando Magic,,,,,,,
Toronto Raptors,Philadelphia 76ers,0.500117829,,,,Philadelphia 76ers,,Toronto Raptors,,,,,,,
Denver Nuggets,Atlanta Hawks,0.881080663,,,,Denver Nuggets,,Atlanta Hawks,,,,,,,
Los Angeles Clippers,Brooklyn Nets,0.726857954,,,,Brooklyn Nets,,Los Angeles Clippers,,,,,,,
Milwaukee Bucks,Sacramento Kings,0.711710573,,,,Sacramento Kings,,Milwaukee Bucks,,,,,,,
Houston Rockets,Chicago Bulls,0.77406366,,,,Chicago Bulls,,Houston Rockets,,,,,,,
Dallas Mavericks,Memphis Grizzlies,0.679723214,,,,Memphis Grizzlies,,Dallas Mavericks,,,,,,,
Miami Heat,Oklahoma City Thunder,0.618030749,,,,Miami Heat,,Oklahoma City Thunder,,,,,,,
Portland Trail Blazers,Phoenix Suns,0.674865289,,,,Portland Trail Blazers,,Phoenix Suns,,,,,,,
Utah Jazz,Charlotte Hornets,0.723870848,,,,Charlotte Hornets,,Utah Jazz,,,,,,,
Los Angeles Lakers,Washington Wizards,0.825473731,,,,Washington Wizards,,Los Angeles Lakers,,,,,,,
Atlanta Hawks,Cleveland Cavaliers,0.615855782,,,,Atlanta Hawks,,Cleveland Cavaliers,,,,,,,
Orlando Magic,Detroit Pistons,0.60818911,,,,Detroit Pistons,,Orlando Magic,,,,,,,
Sacramento Kings,Brooklyn Nets,0.504987452,,,,Sacramento Kings,,Brooklyn Nets,,,,,,,
Boston Celtics,Dallas Mavericks,0.576421699,,,,Boston Celtics,,Dallas Mavericks,,,,,,,
Golden State Warriors,New York Knicks,0.539065475,,,,Golden State Warriors,,New York Knicks,,,,,,,
Toronto Raptors,Philadelphia 76ers,0.500117829,,,,Philadelphia 76ers,,Toronto Raptors,,,,,,,
Milwaukee Bucks,Minnesota Timberwolves,0.847012375,,,,Minnesota Timberwolves,,Milwaukee Bucks,,,,,,,
Denver Nuggets,Portland Trail Blazers,0.541157519,,,,Portland Trail Blazers,,Denver Nuggets,,,,,,,
Los Angeles Clippers,Washington Wizards,0.808277175,,,,Washington Wizards,,Los Angeles Clippers,,,,,,,
Boston Celtics,Atlanta Hawks,0.894563968,,,,Boston Celtics,,Atlanta Hawks,,,,,,,
Houston Rockets,Cleveland Cavaliers,0.887527093,,,,Houston Rockets,,Cleveland Cavaliers,,,,,,,
Indiana Pacers,Golden State Warriors,0.802169595,,,,Golden State Warriors,,Indiana Pacers,,,,,,,
Minnesota Timberwolves,Chicago Bulls,0.529427968,,,,Minnesota Timberwolves,,Chicago Bulls,,,,,,,
Toronto Raptors,Miami Heat,0.523119108,,,,Toronto Raptors,,Miami Heat,,,,,,,
New Orleans Pelicans,Detroit Pistons,0.566562995,,,,Detroit Pistons,,New Orleans Pelicans,,,,,,,
San Antonio Spurs,Oklahoma City Thunder,0.543743957,,,,San Antonio Spurs,,Oklahoma City Thunder,,,,,,,
Phoenix Suns,Charlotte Hornets,0.578810565,,,,Charlotte Hornets,,Phoenix Suns,,,,,,,
Los Angeles Lakers,Utah Jazz,0.63217735,,,,Los Angeles Lakers,,Utah Jazz,,,,,,,
Philadelphia 76ers,Dallas Mavericks,0.55217684,,,,Dallas Mavericks,,Philadelphia 76ers,,,,,,,
Brooklyn Nets,Orlando Magic,0.500272366,,,,Orlando Magic,,Brooklyn Nets,,,,,,,
Sacramento Kings,New York Knicks,0.743007283,,,,Sacramento Kings,,New York Knicks,,,,,,,
Los Angeles Clippers,Memphis Grizzlies,0.754289647,,,,Los Angeles Clippers,,Memphis Grizzlies,,,,,,,
Denver Nuggets,Washington Wizards,0.766854017,,,,Washington Wizards,,Denver Nuggets,,,,,,,
Milwaukee Bucks,New Orleans Pelicans,0.767402166,,,,New Orleans Pelicans,,Milwaukee Bucks,,,,,,,
Boston Celtics,Indiana Pacers,0.626294008,,,,Indiana Pacers,,Boston Celtics,,,,,,,
Toronto Raptors,Houston Rockets,0.587175733,,,,Houston Rockets,,Toronto Raptors,,,,,,,
Phoenix Suns,Chicago Bulls,0.604430029,,,,Phoenix Suns,,Chicago Bulls,,,,,,,
Sacramento Kings,Detroit Pistons,0.77620616,,,,Sacramento Kings,,Detroit Pistons,,,,,,,
Los Angeles Clippers,Memphis Grizzlies,0.754289647,,,,Los Angeles Clippers,,Memphis Grizzlies,,,,,,,
Miami Heat,Utah Jazz,0.566155236,,,,Utah Jazz,,Miami Heat,,,,,,,
Oklahoma City Thunder,Atlanta Hawks,0.791679461,,,,Atlanta Hawks,,Oklahoma City Thunder,,,,,,,
Charlotte Hornets,Golden State Warriors,0.792101057,,,,Charlotte Hornets,,Golden State Warriors,,,,,,,
Los Angeles Lakers,Portland Trail Blazers,0.629075778,,,,Portland Trail Blazers,,Los Angeles Lakers,,,,,,,
Philadelphia 76ers,Cleveland Cavaliers,0.836058556,,,,Cleveland Cavaliers,,Philadelphia 76ers,,,,,,,
Minnesota Timberwolves,Washington Wizards,0.549721164,,,,Minnesota Timberwolves,,Washington Wizards,,,,,,,
Indiana Pacers,New York Knicks,0.791217526,,,,Indiana Pacers,,New York Knicks,,,,,,,
Denver Nuggets,Oklahoma City Thunder,0.554730128,,,,Denver Nuggets,,Oklahoma City Thunder,,,,,,,
Utah Jazz,Orlando Magic,0.743807072,,,,Utah Jazz,,Orlando Magic,,,,,,,
San Antonio Spurs,New Orleans Pelicans,0.613124175,,,,New Orleans Pelicans,,San Antonio Spurs,,,,,,,
Dallas Mavericks,Brooklyn Nets,0.622633286,,,,Dallas Mavericks,,Brooklyn Nets,,,,,,,
Milwaukee Bucks,Los Angeles Clippers,0.51215811,,,,Los Angeles Clippers,,Milwaukee Bucks,,,,,,,
Boston Celtics,Washington Wizards,0.777321511,,,,Washington Wizards,,Boston Celtics,,,,,,,
Toronto Raptors,Chicago Bulls,0.799747551,,,,Chicago Bulls,,Toronto Raptors,,,,,,,
New York Knicks,Detroit Pistons,0.716649493,,,,New York Knicks,,Detroit Pistons,,,,,,,
Houston Rockets,Memphis Grizzlies,0.761861217,,,,Memphis Grizzlies,,Houston Rockets,,,,,,,
Los Angeles Lakers,Golden State Warriors,0.880356097,,,,Golden State Warriors,,Los Angeles Lakers,,,,,,,
Miami Heat,Atlanta Hawks,0.859183613,,,,Atlanta Hawks,,Miami Heat,,,,,,,
Phoenix Suns,Minnesota Timberwolves,0.682813676,,,,Phoenix Suns,,Minnesota Timberwolves,,,,,,,
Sacramento Kings,Charlotte Hornets,0.539890619,,,,Charlotte Hornets,,Sacramento Kings,,,,,,,
Dallas Mavericks,Orlando Magic,0.717455022,,,,Dallas Mavericks,,Orlando Magic,,,,,,,
Philadelphia 76ers,Indiana Pacers,0.603396585,,,,Indiana Pacers,,Philadelphia 76ers,,,,,,,
Utah Jazz,New Orleans Pelicans,0.775166143,,,,Utah Jazz,,New Orleans Pelicans,,,,,,,
San Antonio Spurs,Brooklyn Nets,0.543268359,,,,Brooklyn Nets,,San Antonio Spurs,,,,,,,
Houston Rockets,Cleveland Cavaliers,0.858643786,,,,Cleveland Cavaliers,,Houston Rockets,,,,,,,
Denver Nuggets,Chicago Bulls,0.825318302,,,,Denver Nuggets,,Chicago Bulls,,,,,,,
Portland Trail Blazers,Charlotte Hornets,0.673160814,,,,Charlotte Hornets,,Portland Trail Blazers,,,,,,,
Memphis Grizzlies,Washington Wizards,0.67027448,,,,Memphis Grizzlies,,Washington Wizards,,,,,,,
Los Angeles Clippers,Boston Celtics,0.517016402,,,,Los Angeles Clippers,,Boston Celtics,,,,,,,
Miami Heat,Atlanta Hawks,0.859183613,,,,Atlanta Hawks,,Miami Heat,,,,,,,
Toronto Raptors,Detroit Pistons,0.870934556,,,,Detroit Pistons,,Toronto Raptors,,,,,,,
San Antonio Spurs,New York Knicks,0.61922516,,,,New York Knicks,,San Antonio Spurs,,,,,,,
Milwaukee Bucks,Denver Nuggets,0.568664068,,,,Denver Nuggets,,Milwaukee Bucks,,,,,,,
Los Angeles Lakers,Phoenix Suns,0.830935416,,,,Phoenix Suns,,Los Angeles Lakers,,,,,,,
Indiana Pacers,Cleveland Cavaliers,0.841601521,,,,Indiana Pacers,,Cleveland Cavaliers,,,,,,,
Philadelphia 76ers,Utah Jazz,0.518863927,,,,Utah Jazz,,Philadelphia 76ers,,,,,,,
Houston Rockets,Brooklyn Nets,0.704366622,,,,Brooklyn Nets,,Houston Rockets,,,,,,,
Charlotte Hornets,Minnesota Timberwolves,0.686236742,,,,Charlotte Hornets,,Minnesota Timberwolves,,,,,,,
Chicago Bulls,New Orleans Pelicans,0.563821988,,,,Chicago Bulls,,New Orleans Pelicans,,,,,,,
Orlando Magic,Atlanta Hawks,0.616919501,,,,Atlanta Hawks,,Orlando Magic,,,,,,,
Dallas Mavericks,Oklahoma City Thunder,0.528655992,,,,Oklahoma City Thunder,,Dallas Mavericks,,,,,,,
Portland Trail Blazers,Golden State Warriors,0.758028792,,,,Golden State Warriors,,Portland Trail Blazers,,,,,,,
Los Angeles Lakers,Sacramento Kings,0.793378379,,,,Los Angeles Lakers,,Sacramento Kings,,,,,,,
Toronto Raptors,Boston Celtics,0.546495206,,,,Toronto Raptors,,Boston Celtics,,,,,,,
Los Angeles Clippers,Washington Wizards,0.865560197,,,,Los Angeles Clippers,,Washington Wizards,,,,,,,
Denver Nuggets,Indiana Pacers,0.533069375,,,,Denver Nuggets,,Indiana Pacers,,,,,,,
Milwaukee Bucks,Memphis Grizzlies,0.733482584,,,,Milwaukee Bucks,,Memphis Grizzlies,,,,,,,
Miami Heat,New Orleans Pelicans,0.819305328,,,,Miami Heat,,New Orleans Pelicans,,,,,,,
Oklahoma City Thunder,San Antonio Spurs,0.542276587,,,,Oklahoma City Thunder,,San Antonio Spurs,,,,,,,
Phoenix Suns,Golden State Warriors,0.676400603,,,,Golden State Warriors,,Phoenix Suns,,,,,,,
Portland Trail Blazers,Sacramento Kings,0.55893121,,,,Sacramento Kings,,Portland Trail Blazers,,,,,,,
